record_id,bundle_id,case_id,abm,llm,evidence,prompt,summarizer,repetition,summary_output_path,success,reference_family,error
01_fauna_none_plot_rep1__none__author,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,none,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,True,author,
01_fauna_none_plot_rep1__none__gpt5_2_short,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,none,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,True,gpt5.2_short,
01_fauna_none_plot_rep1__none__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,none,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,True,gpt5.2_long,
01_fauna_none_plot_rep1__bart__author,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,bart,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,True,author,
01_fauna_none_plot_rep1__bart__gpt5_2_short,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,bart,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,True,gpt5.2_short,
01_fauna_none_plot_rep1__bart__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,bart,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,True,gpt5.2_long,
01_fauna_none_plot_rep1__bert__author,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,bert,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,True,author,
01_fauna_none_plot_rep1__bert__gpt5_2_short,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,bert,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,True,gpt5.2_short,
01_fauna_none_plot_rep1__bert__gpt5_2_long,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,bert,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,True,gpt5.2_long,
01_fauna_none_plot_rep1__t5__author,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,mistral-medium-latest,plot,none,t5,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,True,author,
