record_id,bundle_id,case_id,abm,llm,evidence,prompt,summarizer,repetition,summary_output_path,success,reference_family,error
01_grazing_none_plot_rep1__none,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,none,none,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/01_grazing_none_plot_rep1/02_summaries/none.txt,True,author,
01_grazing_none_plot_rep1__bart,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,none,bart,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/01_grazing_none_plot_rep1/02_summaries/bart.txt,True,author,
01_grazing_none_plot_rep1__bert,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,none,bert,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/01_grazing_none_plot_rep1/02_summaries/bert.txt,True,author,
01_grazing_none_plot_rep1__t5,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,none,t5,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/01_grazing_none_plot_rep1/02_summaries/t5.txt,True,author,
01_grazing_none_plot_rep1__longformer_ext,01_grazing_none_plot_rep1,01_grazing_none_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,none,longformer_ext,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/01_grazing_none_plot_rep1/02_summaries/longformer_ext.txt,True,author,
02_grazing_none_table_rep1__none,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,none,none,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/02_grazing_none_table_rep1/02_summaries/none.txt,True,author,
02_grazing_none_table_rep1__bart,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,none,bart,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/02_grazing_none_table_rep1/02_summaries/bart.txt,True,author,
02_grazing_none_table_rep1__bert,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,none,bert,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/02_grazing_none_table_rep1/02_summaries/bert.txt,True,author,
02_grazing_none_table_rep1__t5,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,none,t5,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/02_grazing_none_table_rep1/02_summaries/t5.txt,True,author,
02_grazing_none_table_rep1__longformer_ext,02_grazing_none_table_rep1,02_grazing_none_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,none,longformer_ext,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/02_grazing_none_table_rep1/02_summaries/longformer_ext.txt,True,author,
03_grazing_none_plot_plus_table_rep1__none,03_grazing_none_plot_plus_table_rep1,03_grazing_none_plot_plus_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot+table,none,none,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/none.txt,True,author,
03_grazing_none_plot_plus_table_rep1__bart,03_grazing_none_plot_plus_table_rep1,03_grazing_none_plot_plus_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot+table,none,bart,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/bart.txt,True,author,
03_grazing_none_plot_plus_table_rep1__bert,03_grazing_none_plot_plus_table_rep1,03_grazing_none_plot_plus_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot+table,none,bert,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/bert.txt,True,author,
03_grazing_none_plot_plus_table_rep1__t5,03_grazing_none_plot_plus_table_rep1,03_grazing_none_plot_plus_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot+table,none,t5,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/t5.txt,True,author,
03_grazing_none_plot_plus_table_rep1__longformer_ext,03_grazing_none_plot_plus_table_rep1,03_grazing_none_plot_plus_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot+table,none,longformer_ext,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/03_grazing_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,True,author,
04_grazing_role_plot_rep1__none,04_grazing_role_plot_rep1,04_grazing_role_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,role,none,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/04_grazing_role_plot_rep1/02_summaries/none.txt,True,author,
04_grazing_role_plot_rep1__bart,04_grazing_role_plot_rep1,04_grazing_role_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,role,bart,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/04_grazing_role_plot_rep1/02_summaries/bart.txt,True,author,
04_grazing_role_plot_rep1__bert,04_grazing_role_plot_rep1,04_grazing_role_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,role,bert,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/04_grazing_role_plot_rep1/02_summaries/bert.txt,True,author,
04_grazing_role_plot_rep1__t5,04_grazing_role_plot_rep1,04_grazing_role_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,role,t5,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/04_grazing_role_plot_rep1/02_summaries/t5.txt,True,author,
04_grazing_role_plot_rep1__longformer_ext,04_grazing_role_plot_rep1,04_grazing_role_plot_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot,role,longformer_ext,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/04_grazing_role_plot_rep1/02_summaries/longformer_ext.txt,True,author,
05_grazing_role_table_rep1__none,05_grazing_role_table_rep1,05_grazing_role_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,role,none,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/05_grazing_role_table_rep1/02_summaries/none.txt,True,author,
05_grazing_role_table_rep1__bart,05_grazing_role_table_rep1,05_grazing_role_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,role,bart,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/05_grazing_role_table_rep1/02_summaries/bart.txt,True,author,
05_grazing_role_table_rep1__bert,05_grazing_role_table_rep1,05_grazing_role_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,role,bert,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/05_grazing_role_table_rep1/02_summaries/bert.txt,True,author,
05_grazing_role_table_rep1__t5,05_grazing_role_table_rep1,05_grazing_role_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,role,t5,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/05_grazing_role_table_rep1/02_summaries/t5.txt,True,author,
05_grazing_role_table_rep1__longformer_ext,05_grazing_role_table_rep1,05_grazing_role_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,table,role,longformer_ext,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/05_grazing_role_table_rep1/02_summaries/longformer_ext.txt,True,author,
06_grazing_role_plot_plus_table_rep1__none,06_grazing_role_plot_plus_table_rep1,06_grazing_role_plot_plus_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot+table,role,none,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/06_grazing_role_plot_plus_table_rep1/02_summaries/none.txt,True,author,
06_grazing_role_plot_plus_table_rep1__bart,06_grazing_role_plot_plus_table_rep1,06_grazing_role_plot_plus_table_rep1,grazing,nvidia/nemotron-nano-12b-v2-vl:free,plot+table,role,bart,1,results/summarizer_smoke_latest/runs/run_20260309_050846_037414/bundles/06_grazing_role_plot_plus_table_rep1/02_summaries/bart.txt,True,author,
